PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;1;28079008_1_38;2020;02;12;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00006;V;00006;V;00006;V;00006;V;00006;V;00000;N;00000;N
28;079;8;6;28079008_6_48;2020;02;12;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.6;V;000.7;V;000.6;V;000.6;V;000.6;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N
28;079;8;7;28079008_7_8;2020;02;12;00027;V;00034;V;00029;V;00027;V;00028;V;00028;V;00036;V;00062;V;00080;V;00093;V;00080;V;00071;V;00065;V;00060;V;00056;V;00045;V;00042;V;00033;V;00031;V;00027;V;00027;V;00029;V;00000;N;00000;N
28;079;8;8;28079008_8_8;2020;02;12;00045;V;00044;V;00044;V;00044;V;00045;V;00044;V;00044;V;00051;V;00055;V;00061;V;00059;V;00059;V;00059;V;00056;V;00054;V;00048;V;00046;V;00042;V;00042;V;00043;V;00044;V;00047;V;00000;N;00000;N
28;079;8;9;28079008_9_47;2020;02;12;00020;V;00022;V;00021;V;00023;V;00023;V;00024;V;00022;V;00022;V;00023;V;00027;V;00023;V;00026;V;00024;V;00016;V;00012;V;00020;V;00013;V;00015;V;00027;V;00016;V;00020;V;00021;V;00000;N;00000;N
28;079;8;10;28079008_10_47;2020;02;12;00025;V;00027;V;00028;V;00031;V;00030;V;00031;V;00029;V;00031;V;00036;V;00041;V;00032;V;00033;V;00033;V;00024;V;00022;V;00030;V;00023;V;00026;V;00035;V;00026;V;00030;V;00030;V;00000;N;00000;N
28;079;8;12;28079008_12_8;2020;02;12;00086;V;00095;V;00089;V;00085;V;00087;V;00086;V;00099;V;00146;V;00177;V;00204;V;00182;V;00169;V;00159;V;00148;V;00140;V;00116;V;00111;V;00093;V;00089;V;00085;V;00086;V;00092;V;00000;N;00000;N
28;079;8;14;28079008_14_6;2020;02;12;00.82;V;00.89;V;00.84;V;00.81;V;00.79;V;00.87;V;00.88;V;00.89;V;00.81;V;01.34;V;02.62;V;04.23;V;04.79;V;05.10;V;03.37;V;03.48;V;03.48;V;04.26;V;01.21;V;01.01;V;01.05;V;00.91;V;00000;N;00000;N
28;079;8;20;28079008_20_59;2020;02;12;004.2;V;004.4;V;004.1;V;004.2;V;003.9;V;003.9;V;003.9;V;004.3;V;005.0;V;007.0;V;008.0;V;006.5;V;006.2;V;005.9;V;005.6;V;005.4;V;005.0;V;004.1;V;004.1;V;004.1;V;003.6;V;003.1;V;00000;N;00000;N
28;079;8;30;28079008_30_59;2020;02;12;000.9;V;000.9;V;000.8;V;000.8;V;000.7;V;000.7;V;000.7;V;000.8;V;001.0;V;001.2;V;001.2;V;001.1;V;001.1;V;001.1;V;001.1;V;001.0;V;000.9;V;000.8;V;000.9;V;000.8;V;000.8;V;000.7;V;00000;N;00000;N
28;079;8;35;28079008_35_59;2020;02;12;001.5;V;001.5;V;001.5;V;001.5;V;001.5;V;001.5;V;001.4;V;001.5;V;001.7;V;001.9;V;001.9;V;001.8;V;001.8;V;001.8;V;001.9;V;001.8;V;001.7;V;001.7;V;001.6;V;001.6;V;001.5;V;001.4;V;00000;N;00000;N
28;079;8;42;28079008_42_2;2020;02;12;01.72;V;01.73;V;01.73;V;01.73;V;01.75;V;01.70;V;01.73;V;02.04;V;02.13;V;01.89;V;01.77;V;01.72;V;01.70;V;01.73;V;01.86;V;01.95;V;01.93;V;01.90;V;01.77;V;01.66;V;01.67;V;01.65;V;00000;N;00000;N
28;079;8;43;28079008_43_2;2020;02;12;01.63;V;01.63;V;01.63;V;01.63;V;01.66;V;01.61;V;01.64;V;01.93;V;02.00;V;01.72;V;01.63;V;01.59;V;01.57;V;01.61;V;01.74;V;01.85;V;01.84;V;01.83;V;01.69;V;01.58;V;01.60;V;01.57;V;00000;N;00000;N
28;079;8;44;28079008_44_2;2020;02;12;00.10;V;00.10;V;00.10;V;00.10;V;00.09;V;00.09;V;00.10;V;00.11;V;00.13;V;00.17;V;00.14;V;00.14;V;00.13;V;00.12;V;00.12;V;00.10;V;00.10;V;00.07;V;00.08;V;00.08;V;00.07;V;00.08;V;00000;N;00000;N
28;079;11;7;28079011_7_8;2020;02;12;00033;V;00046;V;00053;V;00053;V;00023;V;00039;V;00039;V;00077;V;00094;V;00082;V;00058;V;00041;V;00045;V;00066;V;00074;V;00067;V;00073;V;00064;V;00052;V;00059;V;00056;V;00045;V;00000;N;00000;N
28;079;11;8;28079011_8_8;2020;02;12;00060;V;00064;V;00065;V;00063;V;00054;V;00058;V;00057;V;00065;V;00067;V;00065;V;00063;V;00058;V;00062;V;00067;V;00072;V;00066;V;00066;V;00064;V;00057;V;00062;V;00065;V;00066;V;00000;N;00000;N
28;079;11;12;28079011_12_8;2020;02;12;00110;V;00135;V;00145;V;00144;V;00090;V;00118;V;00116;V;00182;V;00211;V;00191;V;00152;V;00122;V;00131;V;00168;V;00185;V;00168;V;00178;V;00161;V;00137;V;00153;V;00150;V;00135;V;00000;N;00000;N
28;079;11;20;28079011_20_59;2020;02;12;002.3;V;002.8;V;002.8;V;003.5;V;002.8;V;002.4;V;002.4;V;003.0;V;003.8;V;003.5;V;003.6;V;002.7;V;002.6;V;003.4;V;004.1;V;004.5;V;003.9;V;004.1;V;003.1;V;002.4;V;002.8;V;003.1;V;00000;N;00000;N
28;079;11;30;28079011_30_59;2020;02;12;000.5;V;000.6;V;000.6;V;000.7;V;000.5;V;000.5;V;000.5;V;000.6;V;000.7;V;000.9;V;000.7;V;000.9;V;000.5;V;000.8;V;000.7;V;000.7;V;000.6;V;000.7;V;000.6;V;000.7;V;000.9;V;000.9;V;00000;N;00000;N
28;079;11;35;28079011_35_59;2020;02;12;000.5;V;000.5;V;000.5;V;000.6;V;000.5;V;000.4;V;000.4;V;000.5;V;000.6;V;000.6;V;000.6;V;000.5;V;000.5;V;000.6;V;000.7;V;000.7;V;000.6;V;000.6;V;000.6;V;000.5;V;000.6;V;000.5;V;00000;N;00000;N
28;079;16;6;28079016_6_48;2020;02;12;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.5;V;000.5;V;000.5;V;000.6;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N
28;079;16;7;28079016_7_8;2020;02;12;00048;V;00046;V;00078;V;00074;V;00047;V;00047;V;00048;V;00063;V;00081;V;00054;V;00056;V;00042;V;00043;V;00046;V;00048;V;00054;V;00048;V;00034;V;00040;V;00042;V;00026;V;00026;V;00000;N;00000;N
28;079;16;8;28079016_8_8;2020;02;12;00055;V;00055;V;00058;V;00057;V;00051;V;00050;V;00048;V;00051;V;00056;V;00055;V;00055;V;00051;V;00052;V;00051;V;00053;V;00050;V;00050;V;00045;V;00047;V;00049;V;00050;V;00051;V;00000;N;00000;N
28;079;16;12;28079016_12_8;2020;02;12;00129;V;00126;V;00178;V;00171;V;00123;V;00122;V;00122;V;00148;V;00180;V;00138;V;00141;V;00116;V;00118;V;00120;V;00127;V;00132;V;00123;V;00097;V;00109;V;00113;V;00090;V;00090;V;00000;N;00000;N
28;079;16;14;28079016_14_6;2020;02;12;00.96;V;01.31;V;01.60;V;01.55;V;01.20;V;01.42;V;01.69;V;01.24;V;01.38;V;03.07;V;03.16;V;03.18;V;03.94;V;05.08;V;04.81;V;02.78;V;02.79;V;02.86;V;01.84;V;01.43;V;01.22;V;01.70;V;00000;N;00000;N
28;079;17;1;28079017_1_38;2020;02;12;00008;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00009;V;00009;V;00006;N;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V;00008;V;00008;V;00000;N;00000;N
28;079;17;7;28079017_7_8;2020;02;12;00027;V;00046;V;00050;V;00033;V;00039;V;00037;V;00040;V;00052;V;00039;V;00039;V;00053;V;00057;V;00060;V;00047;N;00048;V;00043;V;00041;V;00046;V;00037;V;00040;V;00038;V;00036;V;00000;N;00000;N
28;079;17;8;28079017_8_8;2020;02;12;00047;V;00048;V;00049;V;00049;V;00051;V;00049;V;00049;V;00053;V;00049;V;00043;V;00046;V;00050;V;00049;V;00047;N;00045;V;00040;V;00041;V;00045;V;00043;V;00045;V;00047;V;00054;V;00000;N;00000;N
28;079;17;12;28079017_12_8;2020;02;12;00088;V;00118;V;00125;V;00099;V;00111;V;00106;V;00110;V;00134;V;00109;V;00102;V;00127;V;00136;V;00141;V;00119;N;00119;V;00106;V;00103;V;00116;V;00100;V;00106;V;00106;V;00108;V;00000;N;00000;N
28;079;17;14;28079017_14_6;2020;02;12;02.34;V;02.22;V;02.26;V;02.22;V;02.17;V;02.27;V;02.24;V;02.27;V;02.62;V;03.33;V;03.88;V;04.92;V;06.00;V;06.96;V;06.81;V;07.12;V;05.86;V;04.32;V;03.37;V;02.85;V;04.54;V;03.41;V;00000;N;00000;N
28;079;18;1;28079018_1_38;2020;02;12;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00007;V;00007;V;00008;V;00008;V;00008;V;00007;N;00007;V;00007;V;00007;V;00007;V;00006;V;00006;V;00006;V;00006;V;00006;V;00000;N;00000;N
28;079;18;6;28079018_6_48;2020;02;12;000.4;V;000.5;V;000.4;V;000.5;V;000.4;V;000.4;V;000.5;V;000.6;V;000.7;V;000.6;V;000.6;V;000.6;V;000.6;N;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.7;V;000.5;V;000.5;V;000.5;V;00000;N;00000;N
28;079;18;7;28079018_7_8;2020;02;12;00008;V;00014;V;00014;V;00014;V;00014;V;00014;V;00020;V;00036;V;00061;V;00064;V;00068;V;00058;V;00060;N;00051;V;00048;V;00044;V;00039;V;00036;V;00034;V;00023;V;00027;V;00021;V;00000;N;00000;N
28;079;18;8;28079018_8_8;2020;02;12;00047;V;00049;V;00047;V;00047;V;00047;V;00046;V;00045;V;00048;V;00053;V;00054;V;00062;V;00060;V;00059;N;00056;V;00056;V;00050;V;00047;V;00046;V;00049;V;00046;V;00052;V;00057;V;00000;N;00000;N
